"measure","study","high_N","high_Y","low_N","low_Y"
"Bacteroides","baxter",84,101,88,97
"Bacteroides","brim",3,3,3,3
"Bacteroides","hale",229,114,244,100
"Bacteroides","zeller",24,19,26,18
"Bacteroidetes_unclassified","baxter",75,109,97,89
"Bacteroidetes_unclassified","brim",2,0,4,6
"Bacteroidetes_unclassified","hale",236,107,237,107
"Bacteroidetes_unclassified","zeller",23,20,27,17
"Barnesiella","baxter",77,108,95,90
"Barnesiella","brim",3,1,3,5
"Barnesiella","hale",242,101,231,113
"Barnesiella","zeller",24,19,26,18
"Betaproteobacteria_unclassified","baxter",58,75,114,123
"Betaproteobacteria_unclassified","brim",1,1,5,5
"Betaproteobacteria_unclassified","hale",26,18,447,196
"Betaproteobacteria_unclassified","zeller",19,19,31,18
"Bifidobacterium","baxter",86,99,86,99
"Bifidobacterium","brim",4,2,2,4
"Bifidobacterium","hale",23,10,450,204
"Bifidobacterium","zeller",29,14,21,23
"Bilophila","baxter",83,102,89,96
"Bilophila","brim",3,3,3,3
"Bilophila","hale",10,8,463,206
"Bilophila","zeller",26,17,24,20
"Blautia","baxter",89,96,83,102
"Blautia","brim",2,4,4,2
"Blautia","hale",239,104,234,110
"Blautia","zeller",28,15,22,22
"Burkholderiales_unclassified","baxter",47,49,125,149
"Burkholderiales_unclassified","brim",2,3,4,3
"Burkholderiales_unclassified","hale",24,13,449,201
"Burkholderiales_unclassified","zeller",21,21,29,16
"Butyricicoccus","baxter",86,97,86,101
"Butyricicoccus","brim",0,2,6,4
"Butyricicoccus","hale",233,107,240,107
"Butyricicoccus","zeller",24,19,26,18
"Butyricimonas","baxter",78,107,94,91
"Butyricimonas","brim",2,0,4,6
"Butyricimonas","hale",236,107,237,107
"Butyricimonas","zeller",25,18,25,19
"Campylobacter","baxter",26,31,146,167
"Campylobacter","brim",2,2,4,4
"Campylobacter","hale",6,1,467,213
"Campylobacter","zeller",6,6,44,31
"Candidatus_Saccharibacteria_unclassified","baxter",20,45,152,153
"Candidatus_Saccharibacteria_unclassified","brim",4,2,2,4
"Candidatus_Saccharibacteria_unclassified","hale",2,0,471,214
"Candidatus_Saccharibacteria_unclassified","zeller",9,9,41,28
"Catenibacterium","baxter",28,35,144,163
"Catenibacterium","brim",1,0,5,6
"Catenibacterium","hale",34,26,439,188
"Catenibacterium","zeller",22,20,28,17
"Cloacibacillus","baxter",45,59,127,139
"Cloacibacillus","brim",0,2,6,4
"Cloacibacillus","hale",35,20,438,194
"Cloacibacillus","zeller",25,17,25,20
"Cloacibacterium","baxter",2,1,170,197
"Cloacibacterium","brim",2,3,4,3
"Cloacibacterium","hale",0,0,473,214
"Cloacibacterium","zeller",21,19,29,18
"Clostridiaceae_1_unclassified","baxter",14,17,158,181
"Clostridiaceae_1_unclassified","brim",2,3,4,3
"Clostridiaceae_1_unclassified","hale",226,81,247,133
"Clostridiaceae_1_unclassified","zeller",17,8,33,29
"Clostridiales_unclassified","baxter",83,102,89,96
"Clostridiales_unclassified","brim",3,3,3,3
"Clostridiales_unclassified","hale",241,102,232,112
"Clostridiales_unclassified","zeller",29,14,21,23
"Clostridia_unclassified","baxter",83,102,89,96
"Clostridia_unclassified","brim",4,2,2,4
"Clostridia_unclassified","hale",245,98,228,116
"Clostridia_unclassified","zeller",27,16,23,21
"Clostridium_IV","baxter",90,95,82,103
"Clostridium_IV","brim",2,4,4,2
"Clostridium_IV","hale",239,104,234,110
"Clostridium_IV","zeller",23,20,27,17
"Clostridium_sensu_stricto","baxter",83,102,89,96
"Clostridium_sensu_stricto","brim",3,2,3,4
"Clostridium_sensu_stricto","hale",227,93,246,121
"Clostridium_sensu_stricto","zeller",26,17,24,20
"Clostridium_XI","baxter",89,96,83,102
"Clostridium_XI","brim",3,3,3,3
"Clostridium_XI","hale",248,95,225,119
"Clostridium_XI","zeller",29,14,21,23
"Clostridium_XlVa","baxter",87,98,85,100
"Clostridium_XlVa","brim",4,2,2,4
"Clostridium_XlVa","hale",220,122,253,92
"Clostridium_XlVa","zeller",24,19,26,18
"Clostridium_XlVb","baxter",76,109,96,89
"Clostridium_XlVb","brim",2,4,4,2
"Clostridium_XlVb","hale",225,118,248,96
"Clostridium_XlVb","zeller",22,21,28,16
"Clostridium_XVIII","baxter",87,98,85,100
"Clostridium_XVIII","brim",2,4,4,2
"Clostridium_XVIII","hale",240,102,233,112
"Clostridium_XVIII","zeller",28,15,22,22
"Collinsella","baxter",89,96,83,102
"Collinsella","brim",4,2,2,4
"Collinsella","hale",231,111,242,103
"Collinsella","zeller",3,3,47,34
"Coprobacillus","baxter",76,86,96,112
"Coprobacillus","brim",2,4,4,2
"Coprobacillus","hale",77,29,396,185
"Coprobacillus","zeller",18,13,32,24
"Coriobacteriaceae_unclassified","baxter",85,100,87,98
"Coriobacteriaceae_unclassified","brim",3,3,3,3
"Coriobacteriaceae_unclassified","hale",195,94,278,120
"Coriobacteriaceae_unclassified","zeller",21,22,29,15
"Corynebacterium","baxter",81,80,91,118
"Corynebacterium","brim",0,1,6,5
"Corynebacterium","hale",1,0,472,214
"Corynebacterium","zeller",24,19,26,18
"Deltaproteobacteria_unclassified","baxter",0,4,172,194
"Deltaproteobacteria_unclassified","brim",1,1,5,5
"Deltaproteobacteria_unclassified","hale",69,28,404,186
"Deltaproteobacteria_unclassified","zeller",13,6,37,31
"Desulfovibrio","baxter",70,95,102,103
"Desulfovibrio","brim",1,2,5,4
"Desulfovibrio","hale",1,0,472,214
"Desulfovibrio","zeller",23,20,27,17
"Desulfovibrionales_unclassified","baxter",26,27,146,171
"Desulfovibrionales_unclassified","brim",2,2,4,4
"Desulfovibrionales_unclassified","hale",1,2,472,212
"Desulfovibrionales_unclassified","zeller",7,10,43,27
"Dialister","baxter",81,103,91,95
"Dialister","brim",3,3,3,3
"Dialister","hale",25,16,448,198
"Dialister","zeller",28,15,22,22
"Dorea","baxter",92,93,80,105
"Dorea","brim",3,3,3,3
"Dorea","hale",227,114,246,100
"Dorea","zeller",25,18,25,19
"Eggerthella","baxter",88,97,84,101
"Eggerthella","brim",1,4,5,2
"Eggerthella","hale",101,41,372,173
"Eggerthella","zeller",21,13,29,24
"Enterobacteriaceae_unclassified","baxter",86,95,86,103
"Enterobacteriaceae_unclassified","brim",4,1,2,5
"Enterobacteriaceae_unclassified","hale",31,11,442,203
"Enterobacteriaceae_unclassified","zeller",24,19,26,18
"Enterococcus","baxter",69,99,103,99
"Enterococcus","brim",3,3,3,3
"Enterococcus","hale",0,0,473,214
"Enterococcus","zeller",25,17,25,20
"Erysipelotrichaceae_unclassified","baxter",88,97,84,101
"Erysipelotrichaceae_unclassified","brim",4,2,2,4
"Erysipelotrichaceae_unclassified","hale",231,108,242,106
"Erysipelotrichaceae_unclassified","zeller",26,17,24,20
"Escherichia.Shigella","baxter",79,106,93,92
"Escherichia.Shigella","brim",3,3,3,3
"Escherichia.Shigella","hale",23,8,450,206
"Escherichia.Shigella","zeller",25,18,25,19
"Eubacteriaceae_unclassified","baxter",6,5,166,193
"Eubacteriaceae_unclassified","brim",0,1,6,5
"Eubacteriaceae_unclassified","hale",12,12,461,202
"Eubacteriaceae_unclassified","zeller",7,9,43,28
"Eubacterium","baxter",78,106,94,92
"Eubacterium","brim",1,2,5,4
"Eubacterium","hale",29,24,444,190
"Eubacterium","zeller",28,15,22,22
"Faecalibacterium","baxter",90,95,82,103
"Faecalibacterium","brim",3,3,3,3
"Faecalibacterium","hale",234,109,239,105
"Faecalibacterium","zeller",23,20,27,17
"Finegoldia","baxter",24,35,148,163
"Finegoldia","brim",0,1,6,5
"Finegoldia","hale",3,1,470,213
"Finegoldia","zeller",15,8,35,29
"Firmicutes_unclassified","baxter",90,95,82,103
"Firmicutes_unclassified","brim",2,4,4,2
"Firmicutes_unclassified","hale",244,99,229,115
"Firmicutes_unclassified","zeller",26,17,24,20
"Flavonifractor","baxter",97,87,75,111
"Flavonifractor","brim",3,3,3,3
"Flavonifractor","hale",235,107,238,107
"Flavonifractor","zeller",19,24,31,13
"Fusobacterium","baxter",59,72,113,126
"Fusobacterium","brim",2,3,4,3
"Fusobacterium","hale",28,9,445,205
"Fusobacterium","zeller",19,23,31,14
"Granulicatella","baxter",3,3,169,195
"Granulicatella","brim",2,3,4,3
"Granulicatella","hale",0,1,473,213
"Granulicatella","zeller",12,8,38,29
"Haemophilus","baxter",1,0,171,198
"Haemophilus","brim",3,3,3,3
"Haemophilus","hale",6,0,467,214
"Haemophilus","zeller",11,10,39,27
"Holdemania","baxter",78,104,94,94
"Holdemania","brim",2,4,4,2
"Holdemania","hale",219,100,254,114
"Holdemania","zeller",24,19,26,18
"Howardella","baxter",28,49,144,149
"Howardella","brim",3,0,3,6
"Howardella","hale",67,26,406,188
"Howardella","zeller",19,17,31,20
"Lachnospiraceae_unclassified","baxter",98,87,74,111
"Lachnospiraceae_unclassified","brim",2,4,4,2
"Lachnospiraceae_unclassified","hale",249,94,224,120
"Lachnospiraceae_unclassified","zeller",23,20,27,17
"Lactobacillales_unclassified","baxter",91,94,81,104
"Lactobacillales_unclassified","brim",1,2,5,4
"Lactobacillales_unclassified","hale",29,7,444,207
"Lactobacillales_unclassified","zeller",26,17,24,20
"Lactobacillus","baxter",84,101,88,97
"Lactobacillus","brim",2,4,4,2
"Lactobacillus","hale",9,4,464,210
"Lactobacillus","zeller",28,15,22,22
"Lactococcus","baxter",96,89,76,109
"Lactococcus","brim",2,4,4,2
"Lactococcus","hale",8,1,465,213
"Lactococcus","zeller",26,17,24,20
"Megasphaera","baxter",41,65,131,133
"Megasphaera","brim",3,1,3,5
"Megasphaera","hale",3,2,470,212
"Megasphaera","zeller",27,16,23,21
"Mitsuokella","baxter",6,3,166,195
"Mitsuokella","brim",1,1,5,5
"Mitsuokella","hale",2,6,471,208
"Mitsuokella","zeller",21,12,29,25
"Mogibacterium","baxter",59,90,113,108
"Mogibacterium","brim",2,1,4,5
"Mogibacterium","hale",15,19,458,195
"Mogibacterium","zeller",27,16,23,21
"Novosphingobium","baxter",0,1,172,197
"Novosphingobium","brim",0,1,6,5
"Novosphingobium","hale",0,0,473,214
"Novosphingobium","zeller",6,12,44,25
"Odoribacter","baxter",75,110,97,88
"Odoribacter","brim",1,5,5,1
"Odoribacter","hale",239,104,234,110
"Odoribacter","zeller",23,20,27,17
"Oscillibacter","baxter",86,99,86,99
"Oscillibacter","brim",2,4,4,2
"Oscillibacter","hale",234,109,239,105
"Oscillibacter","zeller",26,17,24,20
"Parabacteroides","baxter",82,103,90,95
"Parabacteroides","brim",3,3,3,3
"Parabacteroides","hale",236,107,237,107
"Parabacteroides","zeller",23,20,27,17
"Paraprevotella","baxter",87,97,85,101
"Paraprevotella","brim",4,1,2,5
"Paraprevotella","hale",125,60,348,154
"Paraprevotella","zeller",29,13,21,24
"Parasutterella","baxter",85,100,87,98
"Parasutterella","brim",2,4,4,2
"Parasutterella","hale",81,42,392,172
"Parasutterella","zeller",25,18,25,19
"Parvimonas","baxter",35,47,137,151
"Parvimonas","brim",1,3,5,3
"Parvimonas","hale",3,2,470,212
"Parvimonas","zeller",28,15,22,22
"Pasteurellaceae_unclassified","baxter",85,98,87,100
"Pasteurellaceae_unclassified","brim",0,2,6,4
"Pasteurellaceae_unclassified","hale",14,2,459,212
"Pasteurellaceae_unclassified","zeller",23,20,27,17
"Peptostreptococcus","baxter",19,25,153,173
"Peptostreptococcus","brim",1,0,5,6
"Peptostreptococcus","hale",1,1,472,213
"Peptostreptococcus","zeller",26,17,24,20
"Phascolarctobacterium","baxter",83,102,89,96
"Phascolarctobacterium","brim",2,3,4,3
"Phascolarctobacterium","hale",65,29,408,185
"Phascolarctobacterium","zeller",26,17,24,20
"Porphyromonadaceae_unclassified","baxter",85,100,87,98
"Porphyromonadaceae_unclassified","brim",1,1,5,5
"Porphyromonadaceae_unclassified","hale",239,104,234,110
"Porphyromonadaceae_unclassified","zeller",22,21,28,16
"Porphyromonas","baxter",46,76,126,122
"Porphyromonas","brim",2,3,4,3
"Porphyromonas","hale",0,2,473,212
"Porphyromonas","zeller",11,12,39,25
"Prevotella","baxter",85,98,87,100
"Prevotella","brim",3,2,3,4
"Prevotella","hale",157,72,316,142
"Prevotella","zeller",25,18,25,19
"Prevotellaceae_unclassified","baxter",48,62,124,136
"Prevotellaceae_unclassified","brim",3,0,3,6
"Prevotellaceae_unclassified","hale",156,72,317,142
"Prevotellaceae_unclassified","zeller",24,19,26,18
"Propionibacterium","baxter",2,2,170,196
"Propionibacterium","brim",4,2,2,4
"Propionibacterium","hale",9,3,464,211
"Propionibacterium","zeller",9,6,41,31
"Proteobacteria_unclassified","baxter",53,74,119,124
"Proteobacteria_unclassified","brim",1,0,5,6
"Proteobacteria_unclassified","hale",119,61,354,153
"Proteobacteria_unclassified","zeller",28,15,22,22
"Pseudoflavonifractor","baxter",70,77,102,121
"Pseudoflavonifractor","brim",3,3,3,3
"Pseudoflavonifractor","hale",77,35,396,179
"Pseudoflavonifractor","zeller",25,18,25,19
"Pyramidobacter","baxter",4,15,168,183
"Pyramidobacter","brim",3,3,3,3
"Pyramidobacter","hale",1,1,472,213
"Pyramidobacter","zeller",4,3,46,34
"Roseburia","baxter",90,95,82,103
"Roseburia","brim",3,3,3,3
"Roseburia","hale",238,105,235,109
"Roseburia","zeller",20,23,30,14
"Rothia","baxter",88,97,84,101
"Rothia","brim",2,2,4,4
"Rothia","hale",2,0,471,214
"Rothia","zeller",24,18,26,19
"Ruminococcaceae_unclassified","baxter",86,99,86,99
"Ruminococcaceae_unclassified","brim",3,3,3,3
"Ruminococcaceae_unclassified","hale",253,90,220,124
"Ruminococcaceae_unclassified","zeller",23,20,27,17
"Ruminococcus","baxter",74,111,98,87
"Ruminococcus","brim",3,3,3,3
"Ruminococcus","hale",248,95,225,119
"Ruminococcus","zeller",29,14,21,23
"Sedimentibacter","baxter",1,1,171,197
"Sedimentibacter","brim",1,2,5,4
"Sedimentibacter","hale",1,0,472,214
"Sedimentibacter","zeller",0,0,50,37
"Selenomonadales_unclassified","baxter",1,0,171,198
"Selenomonadales_unclassified","brim",3,3,3,3
"Selenomonadales_unclassified","hale",20,10,453,204
"Selenomonadales_unclassified","zeller",21,22,29,15
"Slackia","baxter",48,58,124,140
"Slackia","brim",2,0,4,6
"Slackia","hale",55,32,418,182
"Slackia","zeller",6,5,44,32
"Sphingobacterium","baxter",4,4,168,194
"Sphingobacterium","brim",0,1,6,5
"Sphingobacterium","hale",0,0,473,214
"Sphingobacterium","zeller",0,1,50,36
"Streptococcus","baxter",88,97,84,101
"Streptococcus","brim",2,4,4,2
"Streptococcus","hale",26,7,447,207
"Streptococcus","zeller",27,16,23,21
"Sutterella","baxter",45,70,127,128
"Sutterella","brim",5,1,1,5
"Sutterella","hale",59,31,414,183
"Sutterella","zeller",25,18,25,19
"Synergistaceae_unclassified","baxter",0,0,172,198
"Synergistaceae_unclassified","brim",1,0,5,6
"Synergistaceae_unclassified","hale",1,0,472,214
"Synergistaceae_unclassified","zeller",0,2,50,35
"Turicibacter","baxter",88,97,84,101
"Turicibacter","brim",2,2,4,4
"Turicibacter","hale",17,6,456,208
"Turicibacter","zeller",26,17,24,20
"Veillonella","baxter",83,102,89,96
"Veillonella","brim",4,2,2,4
"Veillonella","hale",6,1,467,213
"Veillonella","zeller",23,19,27,18
"Veillonellaceae_unclassified","baxter",24,19,148,179
"Veillonellaceae_unclassified","brim",2,1,4,5
"Veillonellaceae_unclassified","hale",12,4,461,210
"Veillonellaceae_unclassified","zeller",25,18,25,19
